timestep,x,y,z,roll,pitch,yaw,gripper
0,0.5630161762237549,0.23762749135494232,0.41747844219207764,-3.1194078591684327,0.0024647667468300494,0.025794785164545638,0.0
1,0.5630316138267517,0.2375936508178711,0.41748058795928955,-3.1194057504773967,0.0024606537143581075,0.025733939301496044,0.0
2,0.5641202926635742,0.23508280515670776,0.41725248098373413,-3.120584855613533,0.002411190797443341,0.021097737328919352,0.0
3,0.565022885799408,0.23295894265174866,0.4170992970466614,-3.1216291584058165,0.002272309572008524,0.017178210122937663,0.0
4,0.565879762172699,0.2309107780456543,0.41697779297828674,-3.122456613655267,0.0021638763351681245,0.013435469077964652,0.0
5,0.5670719742774963,0.2280387431383133,0.416790634393692,-3.1238257373496494,0.0019514484691405265,0.008167275229130922,0.0
6,0.5678101181983948,0.22624343633651733,0.41665878891944885,-3.1247610677833917,0.001817351115721788,0.004864238853174909,0.0
7,0.5685019493103027,0.22453351318836212,0.4165732264518738,-3.125436310530791,0.0017011266825430749,0.0017513916689952844,0.0
8,0.5692209005355835,0.22273623943328857,0.41647613048553467,-3.1261446448691066,0.0015963003638168605,-0.001517197820560497,0.0
9,0.5698450207710266,0.22116141021251678,0.4164000153541565,-3.126749407162602,0.001492302576732829,-0.004365381100840765,0.0
10,0.5704288482666016,0.21967944502830505,0.41632938385009766,-3.1273011647523377,0.001399508223032031,-0.00704802474062723,0.0
11,0.5711520314216614,0.21781960129737854,0.4162343442440033,-3.128004923436755,0.0012801698727180622,-0.01032620594857955,0.0
12,0.5721435546875,0.21523484587669373,0.4160974323749542,-3.128988470211065,0.001131704930678934,-0.014614246608676626,0.0
13,0.572811484336853,0.2133045494556427,0.41585662961006165,-3.1298365538162667,0.0012891983248488614,-0.01803395768646354,0.0
14,0.5733201503753662,0.2118409425020218,0.4157010316848755,-3.1304452832920573,0.001360614873403998,-0.020621961975986054,0.0
15,0.5739832520484924,0.20964163541793823,0.4152616858482361,-3.131508263066989,0.0018645247364521556,-0.024333331674158416,0.0
16,0.5744940042495728,0.20719411969184875,0.4142662584781647,-3.1329291199966667,0.0030676841981027714,-0.028211071969696848,0.0
17,0.5744401216506958,0.2045062929391861,0.41131293773651123,-3.1345558671145097,0.004846215096303119,-0.03229267577292824,0.0
18,0.5747499465942383,0.203265979886055,0.4109838604927063,-3.1352225370466815,0.00531644822209576,-0.03442983470665937,0.0
19,0.5751124620437622,0.20222322642803192,0.4109235107898712,-3.1356216394655068,0.005281486983481187,-0.03628692712860704,0.0
20,0.5755883455276489,0.2007373869419098,0.41075703501701355,-3.136247171844231,0.005387095879648918,-0.03892030003142856,0.0
21,0.5760189294815063,0.19942604005336761,0.4106406271457672,-3.136777561923606,0.00541951096377602,-0.041250099286570724,0.0
22,0.5763081312179565,0.19849522411823273,0.41052553057670593,-3.137179005069604,0.005508746021684274,-0.04288916811877308,0.0
23,0.5764820575714111,0.19774183630943298,0.4103158116340637,-3.1375884115239554,0.005810876798906683,-0.044182598836293455,0.0
24,0.5767381191253662,0.19677361845970154,0.41011330485343933,-3.1380642074086262,0.006067744007905551,-0.045862964246831596,0.0
25,0.5771085023880005,0.19537708163261414,0.40973448753356934,-3.1387004397676983,0.006350049987269957,-0.04829260547159055,0.0
26,0.5769520998001099,0.19363254308700562,0.40496858954429626,-3.136152305590577,-0.000660738011409645,-0.05102125403188022,0.0
27,0.576592206954956,0.19168278574943542,0.39962446689605713,-3.133768717807524,-0.00734189073429925,-0.053962188387462376,0.0
28,0.5757755041122437,0.18934334814548492,0.3930952847003937,-3.1321010820045587,-0.013508748760438838,-0.05696674221311098,0.0
29,0.5758284330368042,0.18605554103851318,0.38651716709136963,-3.130585044074555,-0.019936893313728277,-0.061823745154357464,0.0
30,0.5752814412117004,0.18321949243545532,0.37975627183914185,-3.1307302745299843,-0.022589536014915756,-0.0653443007439583,0.0
31,0.5749731063842773,0.18090902268886566,0.37322062253952026,-3.1303065618805284,-0.027134059241471498,-0.06777241953696296,0.0
32,0.5744529962539673,0.17807912826538086,0.367211252450943,-3.132641821493494,-0.028501274948902422,-0.07001816156612689,0.0
33,0.5763142108917236,0.17601123452186584,0.3600335121154785,-3.134304715890059,-0.03077003761379138,-0.07139096260123282,0.0
34,0.5777308344841003,0.17255660891532898,0.3491576313972473,-3.1347422520081922,-0.032861062649652384,-0.07101431971437776,0.0
35,0.5787023901939392,0.16900208592414856,0.3373878002166748,-3.137333715872228,-0.03543956298592699,-0.07172525794299259,0.0
36,0.5802468061447144,0.16628360748291016,0.32661497592926025,-3.139642247562767,-0.038592475186349784,-0.07229762100950789,0.0
37,0.5811688303947449,0.1634676307439804,0.31487342715263367,3.1392985960691675,-0.039825551349844224,-0.07139807219336436,0.0
38,0.5814595222473145,0.1605641096830368,0.30273187160491943,3.1357181369503686,-0.0416456135147929,-0.07039924898706605,0.0
39,0.5832057595252991,0.156843364238739,0.2919313609600067,3.1312998032356045,-0.04487199537431663,-0.07048111116997863,0.0
40,0.5848417282104492,0.15463502705097198,0.2813780903816223,3.1273499331237895,-0.04653029262767716,-0.06821854910567773,0.0
41,0.5873894691467285,0.1515391767024994,0.27414339780807495,3.125621247844858,-0.05738865183482034,-0.06746494175073493,0.0
42,0.5858686566352844,0.15154576301574707,0.26721489429473877,3.1291113792888283,-0.06016646105673873,-0.06678828513154828,0.0
43,0.5828856825828552,0.15126575529575348,0.26120176911354065,3.13196887102076,-0.06273793750119006,-0.06576013457212031,0.0
44,0.5813561677932739,0.1512189507484436,0.25447580218315125,3.133738254865157,-0.061804507602361225,-0.06512307981030545,0.0
45,0.5796539187431335,0.15114383399486542,0.248098224401474,3.1356767393714597,-0.06149168441895769,-0.06448118521652345,0.0
46,0.5769498348236084,0.15082009136676788,0.242367222905159,3.1362000516719655,-0.05859945464848648,-0.0637507820022001,0.0
47,0.5757671594619751,0.1507577747106552,0.2387412041425705,3.1357909416052503,-0.05494824355319183,-0.06331921247004513,0.0
48,0.5747681856155396,0.15084056556224823,0.23428522050380707,3.1346829705339805,-0.04896194844939061,-0.06278321540785314,0.0
49,0.5738484859466553,0.15116819739341736,0.23010878264904022,3.1331311762390377,-0.04214974108053382,-0.06189187284969439,0.0
50,0.5722306370735168,0.14981266856193542,0.22723402082920074,3.1330415888848737,-0.04111415062563095,-0.06355607547795938,0.0
51,0.5716619491577148,0.14936058223247528,0.22607560455799103,3.132647284420226,-0.03933599266790044,-0.06432173209684837,0.0
52,0.5709984302520752,0.14903731644153595,0.22503864765167236,3.1320801387934423,-0.03760464278831077,-0.06453239770607182,0.0
53,0.5691753625869751,0.1486201286315918,0.22298038005828857,3.1309699140680927,-0.033680356585872095,-0.0644057399410074,0.0
54,0.5675771236419678,0.14829477667808533,0.2212400585412979,3.1301380674449715,-0.03006351360883186,-0.0644612151309451,0.24229077477009042
