timestep,dx,dy,dz,droll,dpitch,dyaw,gripper
0,0.003935877233743668,-0.002961447462439537,-0.004404982551932335,0.0006947382935322821,0.005231732036918402,-0.008575808256864548,0.0
1,0.003935877233743668,-0.0037755724042654037,-0.005504992324858904,0.00035780612961389124,0.004121012520045042,-0.007103176321834326,0.0
2,0.003244350664317608,-0.004137405660003424,-0.00579832773655653,0.0001652734645176679,0.0033132166136056185,-0.007103176321834326,0.0
3,0.003935877233743668,-0.004318322520703077,-0.008145014755427837,0.0001652734645176679,0.00270736962556839,-0.007103176321834326,0.0
4,0.003244350664317608,-0.004770614206790924,-0.007998346351087093,-7.539235230069607e-05,0.0024044460151344538,-0.0059987022541463375,0.0
5,0.003935877233743668,-0.005494280718266964,-0.008731686510145664,-0.0006529903039336205,0.001798599143512547,-0.004526070319116116,0.0
6,0.004627403803169727,-0.006579780485481024,-0.0103450333699584,-0.0018081862945109606,0.0016976245678961277,-0.00268528051674366,0.0
7,0.005318930372595787,-0.008027113974094391,-0.01225171610713005,-0.0031077817548066378,0.0006878796266391873,-0.00010817468137247488,0.0
8,0.003244350664317608,-0.012188197113573551,-0.01635841839015484,0.0011520033003762364,-0.002947202417999506,0.0013644571881741285,0.0
9,-0.002287862356752157,-0.01671111397445202,-0.02721184305846691,-0.008402429521083832,-0.01993616111576557,0.018667882308363914,0.0
10,-0.0015963356709107757,-0.018203675746917725,-0.03366523236036301,-0.013504545204341412,-0.020289571955800056,0.030172819271683693,0.0
11,0.00047824415378272533,-0.018520280718803406,-0.04246530681848526,-0.016681334003806114,-0.024050872772932053,0.030817095190286636,0.0
12,0.0018612974090501666,-0.025344230234622955,-0.04569200053811073,-0.0225535798817873,-0.03000836819410324,0.03772005811333656,0.0
13,0.003244350664317608,-0.03154627978801727,-0.05507874861359596,-0.03102501668035984,-0.03505709394812584,0.04669390991330147,0.0
14,0.006010456942021847,-0.03941615670919418,-0.06505216658115387,-0.04142177850008011,-0.04414479807019234,0.058244865387678146,0.0
15,0.010159616358578205,-0.04321540519595146,-0.0744389146566391,-0.0512409470975399,-0.050001319497823715,0.06616026163101196,0.0
16,-0.00021328245929908007,-0.01680157147347927,-0.034251902252435684,-0.028907157480716705,-0.027887903153896332,0.036431506276130676,0.0
17,-0.005745495203882456,-0.005856113974004984,-0.025305161252617836,-0.024093840271234512,-0.017954537644982338,0.03330216184258461,0.0
18,-0.005745495203882456,-0.009112614206969738,-0.030145201832056046,-0.029677288606762886,-0.021526509895920753,0.03864045441150665,0.0
19,-0.0015963356709107757,-0.011012239381670952,-0.03278522565960884,-0.028907157480716705,-0.020087623968720436,0.03127729147672653,0.0
20,-0.00021328245929908007,-0.013997363857924938,-0.03718526288866997,-0.03025488555431366,-0.023697461932897568,0.029160384088754654,0.0
21,0.0018612974090501666,-0.015942217782139778,-0.0465720072388649,-0.034875668585300446,-0.02920057252049446,0.03035689890384674,0.0
22,0.006010456942021847,-0.01892734318971634,-0.058598775416612625,-0.04142177850008011,-0.03949997201561928,0.03247380629181862,0.0
23,0.008085036650300026,-0.02229691669344902,-0.07209222763776779,-0.04970068484544754,-0.052222758531570435,0.03707578033208847,0.0
24,-0.0133522879332304,-0.038511570543050766,-0.12371933460235596,-0.022938644513487816,-0.10634508728981018,0.03919269144535065,0.0
25,-0.01196923479437828,-0.04511503130197525,-0.1401461362838745,-0.04065164923667908,-0.12250100821256638,0.05236009135842323,0.0
26,-0.01266076136380434,-0.04611007124185562,-0.14601285755634308,-0.05971238389611244,-0.12653999030590057,0.05198618024587631,0.0
27,-0.009203128516674042,-0.04493411257863045,-0.1507062315940857,-0.076270192861557,-0.12653999030590057,0.055587224662303925,0.0
28,-0.005053968634456396,-0.046290989965200424,-0.1553996056318283,-0.08666695654392242,-0.11846202611923218,0.058313895016908646,0.0
29,0.006010456942021847,-0.04375815391540527,-0.16009297966957092,-0.09398319572210312,-0.10917237401008606,0.056519124656915665,0.0
30,0.017766408622264862,-0.040953945368528366,-0.16243965923786163,-0.0986039787530899,-0.09988272190093994,0.04554341360926628,0.0
31,0.027447782456874847,-0.03679286316037178,-0.16243965923786163,-0.10245463252067566,-0.09463204443454742,0.03983696550130844,0.0
32,0.03712915629148483,-0.06374944746494293,-0.21289342641830444,-0.06972408294677734,-0.10392170399427414,0.16188134253025055,0.0
33,0.034363050013780594,-0.06085478141903877,-0.2164134532213211,-0.08936241269111633,-0.1035178005695343,0.1567271202802658,0.0
34,0.030213888734579086,-0.057236447930336,-0.21758680045604706,-0.0986039787530899,-0.10311390459537506,0.15451817214488983,0.0
35,0.027447782456874847,-0.04981886222958565,-0.21993348002433777,-0.1109260693192482,-0.10392170399427414,0.14163264632225037,0.0
36,0.026064729318022728,-0.03833065554499626,-0.21993348002433777,-0.11939750611782074,-0.10392170399427414,0.13058790564537048,0.0
37,0.023990148678421974,-0.0280184056609869,-0.21876013278961182,-0.12709881365299225,-0.10796067863702774,0.118806853890419,0.0
38,0.022607095539569855,-0.018655968829989433,-0.21289342641830444,-0.13017933070659637,-0.11603864282369614,0.11586158722639084,0.0
39,0.02468167617917061,-0.009383988566696644,-0.20468002557754517,-0.13017933070659637,-0.12330880761146545,0.10886658728122711,0.0
40,-0.02787434682250023,0.0059034693986177444,-0.18238650262355804,0.03328089043498039,-0.07564884424209595,0.059303320944309235,0.0
41,-0.04170487821102142,0.017482135444879532,-0.16478635370731354,0.028563840314745903,-0.06615723669528961,0.06616026163101196,0.0
42,-0.04032182693481445,0.022366885095834732,-0.15891963243484497,0.02721611224114895,-0.06454164534807205,0.06160430610179901,0.0
43,-0.04170487821102142,0.023452386260032654,-0.1530529111623764,0.02249906212091446,-0.05828122794628143,0.06422743201255798,0.0
44,-0.04239640757441521,0.027432551607489586,-0.14366616308689117,0.018167076632380486,-0.047779880464076996,0.0724189504981041,0.0
45,-0.045162513852119446,0.028879886493086815,-0.13134606182575226,0.013450026512145996,-0.03899509832262993,0.0823592096567154,0.0
46,-0.045162513852119446,0.030689053237438202,-0.12489267438650131,0.010586103424429893,-0.03031129203736782,0.09524474292993546,0.0
47,-0.04170487821102142,0.03213638439774513,-0.11726593971252441,0.0113562336191535,-0.01588663086295128,0.10371237248182297,0.0
48,-0.029948927462100983,-0.03184026852250099,-0.10318582504987717,0.02673478052020073,-0.050203267484903336,0.07886171340942383,0.0
49,-0.02510824054479599,-0.020058073103427887,-0.07913228869438171,0.0297190360724926,-0.03424929827451706,0.07122243195772171,0.0
50,-0.03271503373980522,-0.022025540471076965,-0.07737226784229279,0.03328089043498039,-0.03849022462964058,0.08935421705245972,0.0
51,-0.04101335257291794,-0.020555593073368073,-0.07326556742191315,0.03924940153956413,-0.027332544326782227,0.09358803182840347,0.0
52,-0.045162513852119446,-0.020284218713641167,-0.06857219338417053,0.043292589485645294,-0.02238479256629944,0.09782184660434723,1.0
53,-0.049311671406030655,-0.01901780068874359,-0.0644654929637909,0.045025382190942764,-0.015392309054732323,0.10408053547143936,1.0
54,-0.04862014576792717,-0.02046513557434082,-0.054785411804914474,0.04791337251663208,-0.005875462666153908,0.11144369095563889,1.0
55,-0.0472370907664299,-0.02159586362540722,-0.045398663729429245,0.05272668972611427,-1.8941886082757264e-05,0.11328448355197906,1.0
56,-0.1631542444229126,-0.01657542586326599,-0.05361206829547882,0.0981643944978714,-0.011504790745675564,0.10518500953912735,1.0
57,-0.13605503737926483,-0.0022377807181328535,-0.04774535074830055,0.09546893835067749,0.020680829882621765,0.09377211332321167,1.0
58,-0.13151690363883972,-0.006217947229743004,-0.041291963309049606,0.0981643944978714,0.029364638030529022,0.09524474292993546,1.0
59,-0.12598468363285065,-0.004770614206790924,-0.03307855874300003,0.10008972138166428,0.04269327223300934,0.09874224662780762,1.0
60,-0.12226773053407669,-0.00024769737501628697,-0.013865062966942787,0.10124491900205612,0.054810211062431335,0.1096029058098793,1.0
61,-0.11569822579622269,0.00029505262500606477,0.02360858954489231,0.10509557276964188,0.06854274123907089,0.1291152834892273,1.0
62,-0.09910158812999725,-0.0016950307181105018,0.05286883935332298,0.10702089965343475,0.07783239334821701,0.1464187055826187,1.0
63,-0.07766426354646683,-0.007303447462618351,0.08073574304580688,0.10779102891683578,0.08469866216182709,0.16261765360832214,1.0
64,-0.05415235832333565,-0.019560551270842552,0.14673630893230438,0.07429034262895584,0.017853545024991035,0.13647843897342682,1.0
