timestep,dx,dy,dz,droll,dpitch,dyaw,gripper
0,0.004627403803169727,-0.00395648879930377,-0.0041849808767437935,0.0015611351700499654,0.005231732036918402,-0.006735018454492092,0.0
1,0.004627403803169727,-0.004680155776441097,-0.003964979201555252,0.0016092683654278517,0.004121012520045042,-0.006735018454492092,0.0
2,0.005318930372595787,-0.005041989032179117,-0.0041849808767437935,0.001248269691132009,0.0035151655320078135,-0.0059987022541463375,0.0
3,0.005318930372595787,-0.006308405660092831,-0.004624984692782164,0.0010076038306578994,0.0026063951663672924,-0.004894228186458349,0.0
4,0.004627403803169727,-0.007212989032268524,-0.004478316754102707,-2.725918784562964e-05,0.0026063951663672924,-0.004526070319116116,0.0
5,0.003935877233743668,-0.00947444699704647,-0.005064988508820534,-0.0016637867083773017,0.0014956756494939327,-0.00268528051674366,0.0
6,0.003244350664317608,-0.017072947695851326,-0.007411675062030554,-0.006092038005590439,-0.0022403807379305363,0.0013644571881741285,0.0
7,0.0018612974090501666,-0.035616904497146606,-0.012398384511470795,-0.016681334003806114,-0.01933031529188156,0.015906697139143944,0.0
8,0.005318930372595787,-0.007303447462618351,-0.010051697492599487,-0.0017600530991330743,-0.0021394062787294388,-0.004157912451773882,0.0
9,0.0067019835114479065,-0.013454614207148552,-0.011078372597694397,-0.0057069724425673485,-0.0031996385660022497,0.0006281412788666785,0.0
10,0.012234196998178959,-0.02720993384718895,-0.016505084931850433,-0.016392534598708153,-0.01854776218533516,0.016643013805150986,0.0
11,0.0115426704287529,-0.039958905428647995,-0.02926519513130188,-0.02505650371313095,-0.0316239595413208,0.028055910021066666,0.0
12,0.010851142928004265,-0.05198986455798149,-0.04070529341697693,-0.03449060395359993,-0.0447506457567215,0.03532703220844269,0.0
13,0.010851142928004265,-0.06411127746105194,-0.05595875531435013,-0.04315457493066788,-0.06151241064071655,0.04301232844591141,0.0
14,0.008085036650300026,-0.07641361653804779,-0.07033220678567886,-0.048545487225055695,-0.07403325289487839,0.04818955063819885,0.0
15,0.010851142928004265,-0.09016328305006027,-0.08382565528154373,-0.05201107636094093,-0.08615019172430038,0.05289506912231445,0.0
16,0.003935877233743668,-0.004499238915741444,-0.005578326061367989,0.0015852018259465694,0.0038180891424417496,-0.006735018454492092,0.0
17,0.005318930372595787,-0.006760697346180677,-0.008291682228446007,0.001248269691132009,0.0037171144504100084,-0.0059987022541463375,0.0
18,0.0067019835114479065,-0.009112614206969738,-0.009318358264863491,0.001079803565517068,0.002000548178330064,-0.004894228186458349,0.0
19,0.0067019835114479065,-0.013092780485749245,-0.012105048634111881,0.0008872709004208446,-0.00042283989023417234,-0.0015808065654709935,0.0
20,0.007393510080873966,-0.018113218247890472,-0.013131723739206791,-0.0003641913353931159,-0.0036035366356372833,0.000259983295109123,0.0
21,0.0067019835114479065,-0.027588728815317154,-0.019291775301098824,-0.003926045261323452,-0.011681496165692806,0.006702748127281666,0.0
22,0.004627403803169727,-0.04303449019789696,-0.029851865023374557,-0.00984642468392849,-0.025615977123379707,0.01811564527451992,0.0
23,-0.00021328245929908007,-0.06592044979333878,-0.04686534404754639,-0.015911202877759933,-0.049193523824214935,0.0341305173933506,0.0
24,-0.027182821184396744,-0.09378161281347275,-0.05889211222529411,-0.10322476178407669,-0.13865692913532257,0.02492656745016575,0.0
25,-0.019576027989387512,-0.11476794630289078,-0.07033220678567886,-0.10861567407846451,-0.1451192945241928,0.025478804484009743,0.0
26,-0.011277708224952221,-0.12200461328029633,-0.07854561507701874,-0.11246632784605026,-0.14027251303195953,0.025294726714491844,0.0
27,-0.0064370217733085155,-0.13213594257831573,-0.09086571633815765,-0.11631698161363602,-0.1330023556947708,0.02952854335308075,0.0
28,0.001169770723208785,-0.1458856165409088,-0.10259915143251419,-0.12016763538122177,-0.12330880761146545,0.042322032153606415,0.0
29,0.004627403803169727,-0.15674060583114624,-0.11374591290950775,-0.12170789390802383,-0.11482694745063782,0.05525358021259308,0.0
30,0.002552824094891548,-0.16687195003032684,-0.12841270864009857,-0.12247803062200546,-0.11240355670452118,0.06390529125928879,0.0
31,0.0018612974090501666,-0.17700327932834625,-0.13897278904914856,-0.12016763538122177,-0.10230611264705658,0.07407566159963608,0.0
32,0.060641057789325714,-0.18713460862636566,-0.18707987666130066,-0.10784554481506348,-0.054040297865867615,0.07849355041980743,0.0
33,0.053725793957710266,-0.18785828351974487,-0.17417308688163757,-0.11015594005584717,-0.051818858832120895,0.07886171340942383,0.0
34,0.053725793957710266,-0.18062160909175873,-0.17299975454807281,-0.11554685235023499,-0.051213011145591736,0.08824974298477173,0.0
35,0.055108845233917236,-0.17772693932056427,-0.17651978135108948,-0.12016763538122177,-0.049193523824214935,0.09027460962533951,0.0
36,0.056491900235414505,-0.18062160909175873,-0.18473318219184875,-0.11708711087703705,-0.048587676137685776,0.0913790836930275,0.0
37,0.055108845233917236,-0.1798979490995407,-0.19411993026733398,-0.11554685235023499,-0.052020806819200516,0.09321987628936768,0.0
38,0.056491900235414505,-0.18134528398513794,-0.20585335791110992,-0.10553515702486038,-0.053030554205179214,0.09598106145858765,0.0
39,0.060641057789325714,-0.1842399388551712,-0.2117200791835785,-0.09398319572210312,-0.053232502192258835,0.1005830317735672,0.0
40,0.003935877233743668,-0.17121393978595734,-0.23518694937229156,-0.011386686004698277,-0.050001319497823715,0.13390132784843445,0.0
41,0.015000303275883198,-0.1697666198015213,-0.23284025490283966,0.0007669380283914506,-0.04313505440950394,0.13537396490573883,0.0
42,0.015691829845309258,-0.16759561002254486,-0.2269735485315323,0.004400991834700108,-0.04394285008311272,0.13242869079113007,0.0
43,0.02468167617917061,-0.15891161561012268,-0.21993348002433777,0.017108147963881493,-0.04232725501060486,0.12469737976789474,0.0
44,0.026756254956126213,-0.15312227606773376,-0.2164134532213211,0.013305626809597015,-0.04656818509101868,0.13390132784843445,0.0
45,0.026756254956126213,-0.14371460676193237,-0.21289342641830444,0.020092403516173363,-0.05929097160696983,0.1291152834892273,0.0
46,0.022607095539569855,-0.12924127280712128,-0.20820005238056183,0.028852639719843864,-0.07968781888484955,0.12064763903617859,0.0
47,0.012925723567605019,-0.11766261607408524,-0.20820005238056183,0.039056871086359024,-0.09503594785928726,0.11218000948429108,0.0
48,-0.18830852210521698,-0.005946572404354811,-0.22580020129680634,0.046565644443035126,-0.06191631034016609,0.2038513422012329,0.0
49,-0.13903725147247314,-0.011826364323496819,-0.19529327750205994,0.06119812652468681,-0.02044103480875492,0.2148960828781128,0.0
50,-0.1271084100008011,-0.009926739148795605,-0.16361300647258759,0.06697410345077515,-0.012867947109043598,0.22152292728424072,0.0
51,-0.10774566978216171,-0.0070320721715688705,-0.13603943586349487,0.0685143694281578,-0.0032501257956027985,0.21784134209156036,1.0
52,-0.1051524430513382,-0.0016950307181105018,-0.11315923929214478,0.06735917180776596,0.0025054204743355513,0.22152292728424072,1.0
