timestep,x,y,z,roll,pitch,yaw,gripper
0,0.47048020362854004,-0.09689673781394958,0.3888961970806122,-3.137319160890018,0.004924036604669668,-0.034194067988365114,0.0
1,0.4704824388027191,-0.09689219295978546,0.3889056146144867,-3.1373215653348563,0.004904701771000219,-0.03420833839089635,0.0
2,0.4706607758998871,-0.09589696675539017,0.38890573382377625,-3.1375979552455266,0.00509103535367883,-0.03219320384761979,0.0
3,0.4708552956581116,-0.09490682184696198,0.38892510533332825,-3.1379071586575384,0.005115419090147233,-0.030135220611946904,0.0
4,0.47105735540390015,-0.09388261288404465,0.3889475464820862,-3.1382289626262874,0.005126071385281206,-0.028007336315886432,0.0
5,0.471373587846756,-0.09225748479366302,0.3889823853969574,-3.1387428831659157,0.005141667602655664,-0.024634079425466464,0.0
6,0.4716833233833313,-0.09064528346061707,0.3890143930912018,-3.139254527771116,0.005154280883063356,-0.021293672180502484,0.0
7,0.4718494713306427,-0.08973579853773117,0.3890262246131897,-3.1395339975946954,0.005183703182886523,-0.019399336382052917,0.0
8,0.47187864780426025,-0.0895441323518753,0.3890206515789032,-3.1395882324538777,0.005210284523432751,-0.019008940784702912,0.0
9,0.47188082337379456,-0.08955033123493195,0.3890262842178345,-3.1395924327668228,0.005182128211179249,-0.019025268045105653,0.0
10,0.4719608724117279,-0.08910316228866577,0.3890320956707001,-3.139728177904467,0.005199789832232904,-0.018091129723611855,0.0
11,0.47197699546813965,-0.08902233839035034,0.38903290033340454,-3.1397552231697796,0.005198455550215586,-0.017924747451829048,0.0
12,0.47197914123535156,-0.08902595192193985,0.38903510570526123,-3.139755491064662,0.00518508990579214,-0.017933730598015344,0.0
13,0.4719887673854828,-0.08903665095567703,0.3890402019023895,-3.139773377617467,0.005051175581553435,-0.017949927845062656,0.0
14,0.47193875908851624,-0.0890541598200798,0.3888911008834839,-3.1398074692219415,0.004714713216639632,-0.018013149858453124,0.0
15,0.4720533788204193,-0.08939205855131149,0.38886719942092896,-3.140106719666567,0.0020624321736715245,-0.01866520524383201,0.0
16,0.472183495759964,-0.08994071930646896,0.38882672786712646,-3.140490957732932,-0.0014812582927403728,-0.019733797037294117,0.0
17,0.47269406914711,-0.09086914360523224,0.3890303373336792,-3.1415185298680406,-0.009679381358112416,-0.021448200623718886,0.0
18,0.4729030430316925,-0.08976560086011887,0.3890720307826996,3.141318095231822,-0.009667912031618764,-0.019147611491147458,0.0
19,0.4729776382446289,-0.08936578780412674,0.3890814781188965,3.141195153211203,-0.009666853455428726,-0.018312802782578203,0.0
20,0.4730012118816376,-0.08924377709627151,0.3890848457813263,3.141161295742163,-0.009667782927108792,-0.018066139945945376,0.0
21,0.4730035960674286,-0.08923058956861496,0.38908469676971436,3.141152585474662,-0.009667355917528653,-0.01803767078057981,0.0
22,0.47300422191619873,-0.0892297774553299,0.3890880346298218,3.1411529755652956,-0.009675782988068704,-0.018037726691260764,0.0
23,0.4730040729045868,-0.0892331451177597,0.3890872299671173,3.141152095117717,-0.009672867813319552,-0.018039501848462904,0.0
24,0.4729989469051361,-0.08925484865903854,0.3890853822231293,3.141158895874727,-0.00967975951633493,-0.01808708018753171,0.0
25,0.47293928265571594,-0.0898355022072792,0.3891142010688782,3.141270843747292,-0.01014861360413688,-0.01928382007325255,0.0
