timestep,dx,dy,dz,droll,dpitch,dyaw,gripper
0,0.05406670644879341,0.014379492960870266,-0.06645842641592026,-0.02573559246957302,-0.07273552566766739,0.04658764228224754,0.0
1,0.06480936706066132,0.002282081637531519,-0.0506964735686779,-0.04720330983400345,-0.06764248013496399,0.05550388619303703,0.0
2,0.06749503314495087,0.0029917522333562374,-0.06383143365383148,-0.033271122723817825,-0.05936628207564354,0.0312560498714447,0.0
3,0.06346653401851654,-0.0023555345833301544,-0.08222037553787231,-0.03566275164484978,-0.05512207746505737,0.023155316710472107,0.0
4,0.06078086793422699,-0.008263956755399704,-0.07521506398916245,-0.026542292907834053,-0.044935986399650574,0.032234661281108856,0.0
5,0.057647593319416046,-0.011300687678158283,-0.07959338277578354,-0.03152485564351082,-0.04514819383621216,0.02119809202849865,0.0
6,0.05507383123040199,-0.011564751155674458,-0.09010135382413864,-0.03505535423755646,-0.046845875680446625,0.008584868162870407,0.0
7,0.05675237253308296,-0.007933877408504486,-0.09010135382413864,-0.03824419155716896,-0.03772083669900894,-0.005496273282915354,0.0
8,0.043883562088012695,0.007018721662461758,-0.06032877415418625,-0.03566275164484978,-0.07358436286449432,0.06159302964806557,0.0
9,0.0546262189745903,-0.0023555345833301544,-0.05857744812965393,-0.04538111761212349,-0.06297385692596436,0.05833098664879799,0.0
10,0.06055706366896629,0.002166553633287549,-0.07784205675125122,-0.03573867678642273,-0.059154070913791656,0.028755152598023415,0.0
11,0.05518573522567749,-0.0038408918771892786,-0.08835002779960632,-0.042116355150938034,-0.053424395620822906,0.023535888642072678,0.0
12,0.05373099818825722,-0.008329972624778748,-0.07346373796463013,-0.03543497622013092,-0.03963072970509529,0.03582290560007095,1.0
13,0.050597723573446274,-0.01143271941691637,-0.08747436106204987,-0.04082563519477844,-0.04069178178906441,0.022992214187979698,0.0
14,0.04679303243756294,-0.012885068543255329,-0.09885799139738083,-0.0440903976559639,-0.04026735946536064,0.010311031714081764,0.0
15,0.047240640968084335,-0.008726067841053009,-0.09623099863529205,-0.038775667548179626,-0.03506821021437645,-0.003430314129218459,0.0
16,0.03868008777499199,-0.00965029001235962,-0.03230752795934677,-0.01937689632177353,-0.06000291183590889,0.07920804619789124,0.0
17,0.042260970920324326,-0.01235694158822298,-0.022675223648548126,-0.02195833809673786,-0.06085175275802612,0.07007433474063873,1.0
18,0.05507383123040199,-0.004303003195673227,-0.030556200072169304,-0.014176052995026112,-0.054485443979501724,0.04289066046476364,1.0
19,0.058319009840488434,-0.0076698134653270245,-0.043691158294677734,-0.018617648631334305,-0.046209245920181274,0.04245572164654732,1.0
20,0.054402414709329605,-0.00892411544919014,-0.029680535197257996,-0.017820440232753754,-0.0344315804541111,0.0494147427380085,1.0
21,0.05104533210396767,-0.008462004363536835,-0.04719381406903267,-0.027462881058454514,-0.03485599905252457,0.032560866326093674,1.0
22,0.04545019939541817,-0.008528020232915878,-0.062080103904008865,-0.03346093371510506,-0.0357048399746418,0.01823507249355316,1.0
23,0.04645732417702675,-0.004633082542568445,-0.06032877415418625,-0.033081311732530594,-0.03708420693874359,0.005920868832617998,1.0
24,-0.0088226068764925,-0.020278848707675934,0.07102082669734955,0.006703248713165522,-0.04981682077050209,0.10095498710870743,1.0
25,0.0019200517563149333,-0.01380929071456194,0.08481253683567047,0.004881055094301701,-0.053424395620822906,0.10704413056373596,1.0
26,0.0009129275567829609,-0.01592179946601391,0.07102082669734955,0.01930675469338894,-0.04217725247144699,0.1113935112953186,1.0
27,0.0018081491580232978,-0.013545227237045765,0.07693155854940414,0.022951140999794006,-0.03506821021437645,0.11182845383882523,1.0
28,0.0022557599004358053,-0.012885068543255329,0.071896493434906,0.025380732491612434,-0.02933853305876255,0.10704413056373596,1.0
29,0.004381910897791386,-0.01235694158822298,0.06445334851741791,0.026899227872490883,-0.02196422778069973,0.09269114583730698,1.0
30,0.00717947818338871,-0.011960846371948719,0.060950689017772675,0.0320621095597744,-0.01803833805024624,0.08181767910718918,1.0
31,0.011207975447177887,-0.011168655008077621,0.06357768177986145,0.03054361417889595,-0.010670664720237255,0.07659841328859329,1.0
32,-0.011508271098136902,-0.016449926421046257,0.07693155854940414,0.013688324019312859,-0.030824005603790283,0.07833816856145859,1.0
33,-0.004794109612703323,-0.024767927825450897,0.10566428303718567,0.01869935728609562,-0.02679201029241085,0.10834894329309464,1.0
34,-0.007703579496592283,-0.023051515221595764,0.1075797975063324,0.027202926576137543,-0.00802466832101345,0.11400314420461655,1.0
35,-0.005913136526942253,-0.01961868815124035,0.11699318885803223,0.03145471215248108,0.0036601568572223186,0.10704413056373596,1.0
36,-0.005017915274947882,-0.017902275547385216,0.10259945690631866,0.037528689950704575,0.007798256352543831,0.1022597998380661,1.0
37,-0.0036750826984643936,-0.017506180331110954,0.09887788444757462,0.037528689950704575,0.014270667918026447,0.0948658436536789,1.0
38,0.002367662498727441,-0.02001478523015976,0.0986042395234108,0.04421006515622139,0.018727082759141922,0.09356102347373962,1.0
39,0.0047176191583275795,-0.02239135652780533,0.08733006566762924,0.036313895136117935,0.022546866908669472,0.08877670019865036,1.0
40,-0.004794109612703323,-0.02463589608669281,0.0822950005531311,0.00260331341996789,-0.0369781032204628,0.08007792383432388,1.0
41,-9.419665002496913e-05,-0.029389040544629097,0.1120949387550354,0.01657346449792385,-0.028277482837438583,0.10747906565666199,1.0
