timestep,dx,dy,dz,droll,dpitch,dyaw,gripper
0,0.03599442169070244,-0.0007051373249851167,-0.14964650571346283,-0.05069584771990776,-0.13809627294540405,-0.03474590554833412,0.0
1,0.048359669744968414,0.005925333127379417,-0.13388454914093018,-0.033157236874103546,-0.14234048128128052,-0.05127357691526413,0.0
2,0.05876661837100983,0.0037921948824077845,-0.14789517223834991,-0.03953491151332855,-0.15082888305187225,-0.050838638097047806,0.0
3,0.06346653401851654,0.006020231172442436,-0.17066244781017303,-0.0487218052148819,-0.14573584496974945,-0.0634518638253212,0.0
4,0.0654807835817337,0.005331706255674362,-0.1864243894815445,-0.058592021465301514,-0.14149163663387299,-0.06823618710041046,0.0
5,0.07040449976921082,0.007159005384892225,-0.20043501257896423,-0.06785483658313751,-0.14318932592868805,-0.07780484110116959,0.0
6,0.0710759162902832,0.006564862094819546,-0.21094298362731934,-0.07605470716953278,-0.13979396224021912,-0.08606867492198944,0.0
7,0.06771883368492126,0.008603102527558804,-0.22145095467567444,-0.08334348350763321,-0.13470090925693512,-0.09650720655918121,0.0
8,0.04545019939541817,0.005780923645943403,-0.1969323605298996,-0.0769658088684082,-0.13554975390434265,-0.07606508582830429,0.0
9,0.05093343183398247,-0.002421550452709198,-0.18292173743247986,-0.07028443366289139,-0.12791018187999725,-0.07128075510263443,0.0
10,0.051716748625040054,-0.00331276492215693,-0.19167837500572205,-0.07149922847747803,-0.12791018187999725,-0.06997594237327576,0.0
11,0.05787139758467674,0.0016714346129447222,-0.2074403315782547,-0.07271402329206467,-0.12706133723258972,-0.08389398455619812,0.0
12,0.05899042636156082,0.005339442286640406,-0.22145095467567444,-0.07453621178865433,-0.12875902652740479,-0.09041806310415268,0.0
13,0.06055706366896629,0.006944453809410334,-0.23195892572402954,-0.07423251867294312,-0.13300323486328125,-0.09868189692497253,0.0
14,0.05742378905415535,0.007258029188960791,-0.24596954882144928,-0.08334348350763321,-0.1313055455684662,-0.1091204285621643,0.0
15,0.05417861044406891,0.007711888290941715,-0.25122353434562683,-0.10004692524671555,-0.12706133723258972,-0.11955896019935608,0.0
16,0.043324049562215805,0.006441082339733839,-0.22495360672473907,-0.0924544557929039,-0.13045670092105865,-0.09172287583351135,0.0
17,0.04410736635327339,0.01335624698549509,-0.2372129112482071,-0.09123965352773666,-0.13215439021587372,-0.09302769601345062,0.0
18,0.047128740698099136,0.0040397546254098415,-0.23546157777309418,-0.09822472929954529,-0.12451481819152832,-0.09955177456140518,0.0
19,0.04522639513015747,0.006919697392731905,-0.24421821534633636,-0.10035062581300735,-0.12111945450305939,-0.11433969438076019,0.0
20,0.03484741970896721,0.005958341062068939,-0.2477208822965622,-0.10733570158481598,-0.11135778576135635,-0.12129871547222137,0.0
21,0.03218973055481911,0.0032558159437030554,-0.24947220087051392,-0.12069845199584961,-0.11347988992929459,-0.12564809620380402,0.0
22,0.035602763295173645,0.0007472121505998075,-0.25297486782073975,-0.11705406755208969,-0.11772409081459045,-0.12651798129081726,0.0
