timestep,x,y,z,roll,pitch,yaw,gripper
0,0.44287756085395813,-0.1489395648241043,0.3906846046447754,3.140870791638461,0.004213745111705691,-0.04814068412674454,0.0
1,0.4428756535053253,-0.14893867075443268,0.3906792998313904,3.140873368282818,0.004225448945130994,-0.04822332370399224,0.0
2,0.4431346356868744,-0.14811521768569946,0.3907163143157959,3.140528391741804,0.004318912410353315,-0.04646523635218005,0.0
3,0.4435521960258484,-0.14682264626026154,0.39077335596084595,3.139982526453069,0.004370030587627527,-0.04372916110730535,0.0
4,0.44387751817703247,-0.14581416547298431,0.3908202648162842,3.139547341113936,0.00439868752810213,-0.041573672325903345,0.0
5,0.44420909881591797,-0.14477214217185974,0.3908666968345642,3.1390990051436782,0.004430726264601725,-0.039319200014587066,0.0
6,0.4445546865463257,-0.14367951452732086,0.390916109085083,3.138626310126207,0.004462298533712605,-0.03695507457020177,0.0
7,0.4448373317718506,-0.14278154075145721,0.3909570872783661,3.1382390513508254,0.004482649712154174,-0.03499847829799837,0.0
8,0.44510772824287415,-0.14192509651184082,0.3909950256347656,3.137868506345857,0.004507788410168523,-0.033137685450863257,0.0
9,0.4457781910896301,-0.1397469937801361,0.39108696579933167,3.1369345226722993,0.004587176491332112,-0.028426765728486483,0.0
10,0.44602033495903015,-0.13895636796951294,0.3911242187023163,3.1365841831371237,0.0046028523468035765,-0.026695230984437067,0.0
11,0.4464895725250244,-0.1374039202928543,0.3911876082420349,3.135920887905593,0.004651579038669196,-0.023333889845341408,0.0
12,0.4468046724796295,-0.13635507225990295,0.39123091101646423,3.13546630423585,0.004689849312138561,-0.02105433103340959,0.0
13,0.447013258934021,-0.1356572061777115,0.3912631571292877,3.135164053379902,0.0046988077640996995,-0.01953213677399033,0.0
14,0.44717714190483093,-0.13510097563266754,0.3912867605686188,3.1349276090103446,0.004715642833733602,-0.018331403218371334,0.0
15,0.4472895860671997,-0.13471706211566925,0.3912961483001709,3.134766307371944,0.004739857712998896,-0.017493983183976335,0.0
16,0.4473055601119995,-0.13466668128967285,0.3912998139858246,3.134735946689848,0.004717084634448643,-0.01737562906486731,0.0
