timestep,x,y,z,roll,pitch,yaw,gripper
0,0.49816861748695374,0.1635424643754959,0.35082265734672546,-3.1265652526376435,0.0075449771792499565,0.02564900458343723,0.0
1,0.4981655180454254,0.16354961693286896,0.3508265018463135,-3.12656355980599,0.007545146090925048,0.025657968609160847,0.0
2,0.49836382269859314,0.16289515793323517,0.35080549120903015,-3.126665572338333,0.007696460834037966,0.02436146161858265,0.0
3,0.4987325668334961,0.16173876821994781,0.3507888913154602,-3.126761209436879,0.0077687826960943784,0.02204203870199202,0.0
4,0.4990984797477722,0.1605852246284485,0.35077422857284546,-3.126846062561019,0.007813847564726473,0.019737238158526394,0.0
5,0.49944156408309937,0.1595088243484497,0.35076481103897095,-3.126918687283672,0.007826941651184027,0.017576083118281138,0.0
6,0.49972662329673767,0.15861624479293823,0.350761741399765,-3.126974749834512,0.007818516126891994,0.015795906728255118,0.0
7,0.49997931718826294,0.15781521797180176,0.3507561683654785,-3.127027811739521,0.00782158158501245,0.014192697126313701,0.0
8,0.5002136826515198,0.1570746898651123,0.35074785351753235,-3.1270721501476197,0.007826536222913516,0.01270203619539475,0.0
9,0.5006707906723022,0.15558630228042603,0.35071808099746704,-3.1271717064878923,0.007856881580645014,0.009728788905336228,0.0
10,0.5008214712142944,0.15510861575603485,0.35073384642601013,-3.1271945962826937,0.007862945475326732,0.008766647463572757,0.0
11,0.501093864440918,0.15422265231609344,0.3507295846939087,-3.1272573509233883,0.007874404273715552,0.006996894754491882,0.0
12,0.5014164447784424,0.1531531661748886,0.3507166802883148,-3.1273322946430624,0.007898163487137566,0.004862347078854458,0.0
13,0.501741349697113,0.15208223462104797,0.3507000207901001,-3.127399286761336,0.007918839551765533,0.002724589224613523,0.0
14,0.5020793676376343,0.15093977749347687,0.3506787419319153,-3.1274839769186618,0.007949003995394444,0.0004536150603250127,0.0
15,0.5023027658462524,0.15019835531711578,0.35067471861839294,-3.127525155668354,0.007943664109303361,-0.0010310419547439283,0.0
16,0.5024406313896179,0.14975214004516602,0.3506792485713959,-3.1275485211665965,0.007922323179976765,-0.0019179740480349929,0.0
17,0.502588152885437,0.14925171434879303,0.3506760895252228,-3.127581136160169,0.007920468079107179,-0.0029185089179145215,0.0
18,0.5026096105575562,0.14918214082717896,0.3506762385368347,-3.1275863715713403,0.007916689848328717,-0.0030477657353167684,0.0
19,0.502646267414093,0.14905264973640442,0.3506712317466736,-3.127590946381192,0.007914801374287572,-0.0033113421713163137,0.0
20,0.502690851688385,0.1489555686712265,0.3506813049316406,-3.127548700884032,0.007748462000753076,-0.003516211400289164,0.0
21,0.5027509927749634,0.1487341970205307,0.3506176173686981,-3.127441351311145,0.007320321175181332,-0.003961911292109759,0.0
22,0.5028237104415894,0.14834974706172943,0.35038864612579346,-3.1271053227525587,0.006071102876070711,-0.004723997093306294,0.0
23,0.5029920935630798,0.1478816717863083,0.35001716017723083,-3.126294623995077,0.0032382451064909556,-0.005716358262771884,0.0
24,0.5032777786254883,0.14740335941314697,0.34936752915382385,-3.124818646887819,-0.0016324017097442134,-0.006821965451088227,0.0
25,0.5029247403144836,0.14654353260993958,0.3461654782295227,-3.1217278343743162,-0.011473984270848447,-0.008456961340721032,0.0
26,0.5029868483543396,0.14630255103111267,0.3461665213108063,-3.1217760977230364,-0.011360425941513652,-0.00893818452512319,0.0
27,0.5030856132507324,0.14594990015029907,0.3461601138114929,-3.12180879807429,-0.011326266654137385,-0.009637132964575891,0.0
28,0.5031543374061584,0.14571331441402435,0.34615811705589294,-3.1218232036098494,-0.011324862191099738,-0.010112174320972455,0.0
29,0.5032129883766174,0.14550694823265076,0.34615787863731384,-3.121837569796015,-0.011329818037198347,-0.010519832842732914,0.0
30,0.5032943487167358,0.14522650837898254,0.3461522161960602,-3.1218521498289658,-0.011340209568956094,-0.011079831745714351,0.0
31,0.5034161806106567,0.1448577344417572,0.34616073966026306,-3.1218331170527462,-0.011501895540575457,-0.011818138539281334,0.0
32,0.5035543441772461,0.14454230666160583,0.34616684913635254,-3.121646831078177,-0.012219356764937572,-0.012485692649670461,0.0
33,0.5025178790092468,0.14357951283454895,0.3438301682472229,-3.1213252075262172,-0.013687564699431443,-0.013798645499980573,0.0
34,0.5024937391281128,0.14339645206928253,0.343748539686203,-3.1214546294576064,-0.013289219276863884,-0.01412832103986218,0.0
35,0.5025486946105957,0.1431281715631485,0.34372520446777344,-3.121519670883089,-0.013120561273366027,-0.0146466988488395,0.0
36,0.502610445022583,0.14289776980876923,0.3437224328517914,-3.1215474677788304,-0.013085343578354003,-0.015097455669443843,0.0
37,0.502678632736206,0.14265881478786469,0.34372028708457947,-3.1215673767177057,-0.013079170825892605,-0.015574505016956754,0.0
38,0.50275057554245,0.14240095019340515,0.3437179923057556,-3.121582932221119,-0.013077924839435706,-0.01609134628955666,0.0
39,0.5028316378593445,0.14208251237869263,0.3437036871910095,-3.1216112333835437,-0.013054036968005223,-0.0167181938046111,0.0
40,0.5029144883155823,0.1417042315006256,0.34366878867149353,-3.1216529617151823,-0.012994669108419954,-0.017462262726399363,0.0
