timestep,dx,dy,dz,droll,dpitch,dyaw,gripper
0,0.004627403803169727,-0.0025996139738708735,-0.003304973477497697,0.0012001364957541227,0.005635629873722792,-0.010416598059237003,0.0
1,0.004627403803169727,-0.003323280718177557,-0.00477165263146162,0.0012964027700945735,0.005635629873722792,-0.008943966589868069,0.0
2,0.005318930372595787,-0.0035946557763963938,-0.004991654306650162,0.0011760699562728405,0.004827834200114012,-0.008575808256864548,0.0
3,0.003935877233743668,-0.004137405660003424,-0.005724994000047445,0.00035780612961389124,0.004726859740912914,-0.00783949252218008,0.0
4,0.003935877233743668,-0.004680155776441097,-0.006091663613915443,0.00035780612961389124,0.004322961438447237,-0.00783949252218008,0.0
5,0.003935877233743668,-0.004680155776441097,-0.00579832773655653,0.0006466050981543958,0.004524910356849432,-0.008207649923861027,0.0
6,0.003935877233743668,-0.005584739148616791,-0.006311665754765272,0.00011714030551956967,0.0042219869792461395,-0.00783949252218008,0.0
7,0.003244350664317608,-0.005946572404354811,-0.007191672921180725,-0.00021979183657094836,0.003212242154404521,-0.007103176321834326,0.0
8,0.005318930372595787,-0.00395648879930377,-0.00477165263146162,0.0011760699562728405,0.005231732036918402,-0.008575808256864548,0.0
9,0.004627403803169727,-0.004408780485391617,-0.006018329877406359,0.0009835372911766171,0.005231732036918402,-0.008207649923861027,0.0
10,0.003935877233743668,-0.005041989032179117,-0.006458333693444729,0.0007428714307025075,0.004726859740912914,-0.008207649923861027,0.0
11,0.004627403803169727,-0.006308405660092831,-0.0075583430007100105,0.0004059392958879471,0.0042219869792461395,-0.008207649923861027,0.0
12,0.004627403803169727,-0.007484363857656717,-0.007411675062030554,-0.00017165868484880775,0.0038180891424417496,-0.0074713341891765594,0.0
13,0.003935877233743668,-0.008841238915920258,-0.008731686510145664,-0.0008455229690298438,0.00270736962556839,-0.0059987022541463375,0.0
14,0.003935877233743668,-0.010740864090621471,-0.010198364965617657,-0.0016637867083773017,0.0011927520390599966,-0.004526070319116116,0.0
15,0.003935877233743668,-0.013816446997225285,-0.012985055334866047,-0.002530183643102646,-0.001533559407107532,-0.00268528051674366,0.0
16,-0.01404381450265646,-0.013725988566875458,-0.014011731371283531,-0.008306163363158703,-0.009359083138406277,-0.010416598059237003,0.0
17,-0.019576027989387512,-0.0310713741928339,-0.018265100196003914,-0.015526138246059418,-0.024252820760011673,-0.0074713341891765594,0.0
18,-0.03686419129371643,-0.06175936385989189,-0.03161188215017319,-0.0462350957095623,-0.07080206274986267,0.0021007731556892395,0.0
19,-0.032023508101701736,-0.08220294862985611,-0.041585300117731094,-0.0685688853263855,-0.08978527039289474,0.011304723098874092,0.0
20,-0.024416713044047356,-0.10753127932548523,-0.05595875531435013,-0.0858968198299408,-0.10513339191675186,0.022533541545271873,0.0
21,-0.02095908112823963,-0.126346617937088,-0.0644654929637909,-0.09937410801649094,-0.11886592954397202,0.03136933222413063,0.0
22,-0.018192974850535393,-0.13937261700630188,-0.06857219338417053,-0.10707541555166245,-0.11926982551813126,0.035603150725364685,0.0
23,-0.020267553627490997,-0.15239861607551575,-0.07150555402040482,-0.11477672308683395,-0.12007761746644974,0.043196406215429306,0.0
24,-0.016809921711683273,-0.0865449458360672,-0.062412142753601074,-0.09398319572210312,-0.10230611264705658,-0.009312123991549015,0.0
25,-0.016809921711683273,-0.1013801097869873,-0.08147896826267242,-0.10245463252067566,-0.11442305147647858,-0.020356863737106323,0.0
26,-0.009894655086100101,-0.11295878142118454,-0.08675901591777802,-0.10014423727989197,-0.10594119131565094,-0.02440660074353218,0.0
27,-0.005053968634456396,-0.12128094583749771,-0.08265231549739838,-0.10168450325727463,-0.09301645308732986,-0.019252389669418335,0.0
28,-0.00021328245929908007,-0.13141228258609772,-0.0820656418800354,-0.10168450325727463,-0.08291900157928467,-0.004894228186458349,0.0
29,0.008085036650300026,-0.13792528212070465,-0.08382565528154373,-0.10245463252067566,-0.07645663619041443,0.00467787915840745,0.0
30,0.004627403803169727,-0.1451619416475296,-0.08617234230041504,-0.10168450325727463,-0.07362934947013855,0.012593275867402554,0.0
