timestep,x,y,z,roll,pitch,yaw,gripper
0,0.5108343362808228,-0.1704200804233551,0.3690459728240967,3.121428079312991,0.011452093768391736,-0.03611811804585884,0.0
1,0.5108235478401184,-0.17042699456214905,0.3690345883369446,3.1214232842292455,0.011483330955781579,-0.036194287194680715,0.0
2,0.5114913582801819,-0.16837887465953827,0.36900678277015686,3.1216323670440294,0.011566622104742574,-0.032527067638478145,0.0
3,0.5120515823364258,-0.1666565239429474,0.36898350715637207,3.1217927443084728,0.011588561933395303,-0.029188054073827407,0.0
4,0.512620747089386,-0.1648976355791092,0.3689657151699066,3.1219469260897705,0.011586649904971935,-0.025752914753949866,0.0
5,0.5130129456520081,-0.16367359459400177,0.3689553439617157,3.122055126224288,0.011575114639540418,-0.02334926286193246,0.0
6,0.5134347677230835,-0.16234944760799408,0.3689420223236084,3.1221706398677576,0.011567240902618403,-0.02075780659532032,0.0
7,0.5138648152351379,-0.1609833538532257,0.3689303994178772,3.122295561021083,0.011555538326295522,-0.01809616026250311,0.0
8,0.5142902731895447,-0.1596136838197708,0.3689146935939789,3.122413620138127,0.011547389386199702,-0.015416818913282072,0.0
9,0.5144756436347961,-0.1589602828025818,0.3688773512840271,3.122488481613716,0.011596424679642281,-0.014161624940653598,0.0
10,0.5150445699691772,-0.15710222721099854,0.3688625693321228,3.122657524416165,0.011599360549604754,-0.010537686273027721,0.0
11,0.5153515338897705,-0.15608727931976318,0.36885005235671997,3.1227493340145336,0.011606109584163526,-0.008567452600282788,0.0
12,0.5155985355377197,-0.1552736908197403,0.36884358525276184,3.1228212144756604,0.011599919670088,-0.006984001590683479,0.0
13,0.5157957077026367,-0.15461549162864685,0.3688376545906067,3.1228767740456083,0.011595376408776614,-0.005699699949065951,0.0
14,0.5159080624580383,-0.15424023568630219,0.36883196234703064,3.1229096628619497,0.011597271861529146,-0.0049719697169805085,0.0
15,0.5159103274345398,-0.15424077212810516,0.36883673071861267,3.122906202368878,0.011575659150427686,-0.004975936364817234,0.0
16,0.5159095525741577,-0.15426090359687805,0.36883944272994995,3.1228895813926223,0.01152535778447672,-0.005002220168165117,0.0
17,0.5157690644264221,-0.15497036278247833,0.3688310384750366,3.1225720417677456,0.010477484413140559,-0.00630753341446434,0.0
18,0.515794575214386,-0.15487682819366455,0.3688259720802307,3.1225630843954084,0.010502234355595386,-0.006104505406405007,0.0
19,0.5155398845672607,-0.1548362821340561,0.3683408796787262,3.122658546383829,0.0108777987377775,-0.006139224007324772,0.0
20,0.5154125094413757,-0.1552080661058426,0.36783796548843384,3.1216749578365284,0.007616028961668908,-0.006738877441474734,0.0
21,0.5155103206634521,-0.15669657289981842,0.3680686354637146,3.1195121665344288,0.0015708693976679289,-0.008933318161148335,0.0
22,0.5153956413269043,-0.15936718881130219,0.36841511726379395,3.117241827100822,-0.00525315202265797,-0.013410817187675674,0.0
23,0.5155310034751892,-0.1625823974609375,0.3687874376773834,3.1141062081132533,-0.014325805335331676,-0.018511455035538204,0.0
24,0.5158646702766418,-0.16603276133537292,0.3689891993999481,3.109977163864127,-0.025290949587422062,-0.023594082021127845,0.0
25,0.5158116817474365,-0.17136582732200623,0.36805304884910583,3.10567634591016,-0.03564010541119833,-0.03215699933518815,0.0
