timestep,dx,dy,dz,droll,dpitch,dyaw,gripper
0,0.0018612974090501666,-6.678070349153131e-05,-0.016505084931850433,-0.001134321908466518,-0.00042283989023417234,-0.010784756392240524,0.0
1,-0.000904809043277055,-0.0037755724042654037,-0.026625171303749084,-0.0017600530991330743,-0.010898943990468979,-0.014098177663981915,0.0
2,-0.002287862356752157,-0.012007280252873898,-0.04833202436566353,-0.005225640721619129,-0.027080107480287552,-0.020356863737106323,0.0
3,-0.002287862356752157,-0.025739986449480057,-0.07619892805814743,-0.00984642468392849,-0.047577932476997375,-0.0225658118724823,0.0
4,-0.00021328245929908007,-0.03733561560511589,-0.09497241675853729,-0.013119479641318321,-0.06413774937391281,-0.023302126675844193,0.0
5,0.00047824415378272533,-0.046290989965200424,-0.1072925254702568,-0.020435720682144165,-0.08170731365680695,-0.02072502113878727,0.0
6,0.002552824094891548,-0.05343719571828842,-0.11902596056461334,-0.025441570207476616,-0.09301645308732986,-0.01593896746635437,0.0
7,0.007393510080873966,-0.06157844513654709,-0.12841270864009857,-0.03333541005849838,-0.10634508728981018,-0.011521072126924992,0.0
8,-0.0064370217733085155,-0.016846802085638046,-0.07385224103927612,-0.015333604998886585,-0.058685123920440674,-0.006366860121488571,0.0
9,-0.010586181655526161,-0.03181765601038933,-0.09145238995552063,-0.019665589556097984,-0.07888002693653107,-0.0037897545844316483,0.0
10,-0.008511601947247982,-0.04665282368659973,-0.10670585185289383,-0.025441570207476616,-0.0934203565120697,-0.004894228186458349,0.0
11,-0.008511601947247982,-0.05777919664978981,-0.11902596056461334,-0.03295034170150757,-0.10715288668870926,-0.008943966589868069,0.0
12,-0.004362442065030336,-0.06628227978944778,-0.12723936140537262,-0.03795619308948517,-0.11482694745063782,-0.01115291379392147,0.0
13,-0.000904809043277055,-0.07315711677074432,-0.1354527622461319,-0.04353963956236839,-0.12250100821256638,-0.011889230459928513,0.0
14,0.003935877233743668,-0.07858461141586304,-0.14366616308689117,-0.04739029332995415,-0.12734778225421906,-0.010784756392240524,0.0
15,0.009468089789152145,-0.08220294862985611,-0.1530529111623764,-0.05085587874054909,-0.1338101476430893,-0.008207649923861027,0.0
16,-0.01750144734978676,-0.03688332065939903,-0.1507062315940857,-0.041229248046875,-0.11321135610342026,0.008911696262657642,0.0
17,-0.018192974850535393,-0.04411998763680458,-0.1553996056318283,-0.036608465015888214,-0.12007761746644974,0.003205247223377228,0.0
18,-0.018192974850535393,-0.04981886222958565,-0.16009297966957092,-0.03718606010079384,-0.11926982551813126,0.000996299204416573,0.0
19,-0.01266076136380434,-0.057055529206991196,-0.16009297966957092,-0.041229248046875,-0.12007761746644974,-0.007103176321834326,0.0
